ticker,rows,features,status
AAPL,754,198,OK
ABBV,754,198,OK
ABT,754,198,OK
AMD,754,198,OK
AMZN,754,198,OK
AVGO,754,198,OK
AXP,754,198,OK
BAC,754,198,OK
BLK,754,198,OK
BRK-B,754,198,OK
CAT,754,198,OK
COST,754,198,OK
CRM,754,198,OK
CSCO,754,198,OK
CVX,754,198,OK
DIS,754,198,OK
GE,754,198,OK
GOOGL,754,198,OK
HD,754,198,OK
IBM,754,198,OK
INTC,754,198,OK
ISRG,754,198,OK
JNJ,754,198,OK
JPM,754,198,OK
KO,754,198,OK
LLY,754,198,OK
MA,754,198,OK
MCD,754,198,OK
META,754,198,OK
MRK,754,198,OK
MSFT,754,198,OK
NEE,754,198,OK
NFLX,754,198,OK
NOW,754,198,OK
NVDA,754,198,OK
ORCL,754,198,OK
PEP,754,198,OK
PG,754,198,OK
PM,754,198,OK
QCOM,754,198,OK
RTX,754,198,OK
SCHW,754,198,OK
TMO,754,198,OK
TMUS,754,198,OK
TSLA,754,198,OK
T,754,198,OK
UNH,754,198,OK
V,754,198,OK
WMT,754,198,OK
XOM,754,198,OK
