feature,importance,type
fear_greed_ma10,0.14755888,sentiment
return_20d,0.12590727,technical
sma_50,0.08803471,technical
price_position,0.07895294,technical
volatility_60d,0.073451646,technical
return_10d,0.069050044,technical
sma_20,0.06836645,technical
fear_greed_extreme_fear,0.06446696,sentiment
return_5d,0.063478276,technical
volatility_20d,0.05987665,technical
fear_greed_ma5,0.05651054,sentiment
return_1d,0.044039033,technical
volume_ratio,0.043500748,technical
fear_greed_change_5d,0.016805854,sentiment
trend,0.0,technical
fear_greed_extreme_greed,0.0,sentiment
composite_sentiment,0.0,sentiment
