,strategy,benchmark
2023-07-24 00:00:00-04:00,10000.0,10000.0
2023-07-25 00:00:00-04:00,10013.636228190215,10027.299756136565
2023-07-26 00:00:00-04:00,10014.790228051315,10028.840849089647
2023-07-27 00:00:00-04:00,9956.705255837742,9962.3504351305
2023-07-28 00:00:00-04:00,10041.910285089294,10059.885433434469
2023-07-31 00:00:00-04:00,10049.838957213113,10079.040499480123
2023-08-01 00:00:00-04:00,10035.47365744897,10050.197575310196
2023-08-02 00:00:00-04:00,9930.89232370821,9910.391116664334
2023-08-03 00:00:00-04:00,9906.043520585548,9881.99018459361
2023-08-04 00:00:00-04:00,9866.939032943705,9837.295722180505
2023-08-07 00:00:00-04:00,9933.38374907176,9923.161852388195
2023-08-08 00:00:00-04:00,9911.806091149389,9880.00779123475
2023-08-09 00:00:00-04:00,9862.17858641939,9813.957985987952
2023-08-10 00:00:00-04:00,9865.27225111686,9817.48147229989
2023-08-11 00:00:00-04:00,9860.245501470028,9811.756325813058
2023-08-14 00:00:00-04:00,9899.137721596628,9865.917996147544
2023-08-15 00:00:00-04:00,9841.538769942657,9750.99175003417
2023-08-16 00:00:00-04:00,9787.516191839371,9679.436756809999
2023-08-17 00:00:00-04:00,9722.391918818636,9605.678720024081
2023-08-18 00:00:00-04:00,9726.475240174083,9610.303382270182
2023-08-21 00:00:00-04:00,9773.14317244176,9672.831084591891
2023-08-22 00:00:00-04:00,9759.920573130437,9646.631121002634
2023-08-23 00:00:00-04:00,9841.356191928644,9754.071860860056
2023-08-24 00:00:00-04:00,9721.946327300471,9618.890064460293
2023-08-25 00:00:00-04:00,9781.846166114978,9686.701612863062
2023-08-28 00:00:00-04:00,9827.495752196855,9748.128830944039
2023-08-29 00:00:00-04:00,9898.451463465386,9889.03508213721
2023-08-30 00:00:00-04:00,9929.081660356263,9929.76614121945
2023-08-31 00:00:00-04:00,9916.354644242414,9915.23504572647
2023-09-01 00:00:00-04:00,9932.552389379316,9933.728852856888
2023-09-05 00:00:00-04:00,9886.288283337724,9890.797516986606
2023-09-06 00:00:00-04:00,9853.090772275802,9824.305719640606
2023-09-07 00:00:00-04:00,9830.443148655339,9794.143044413911
2023-09-08 00:00:00-04:00,9843.381449248765,9808.893406722927
2023-09-11 00:00:00-04:00,9892.553736509131,9873.404194096922
2023-09-12 00:00:00-04:00,9860.783144679503,9819.24183206901
2023-09-13 00:00:00-04:00,9869.032838019935,9830.691433349253
2023-09-14 00:00:00-04:00,9942.104336049586,9915.454312542504
2023-09-15 00:00:00-04:00,9839.118269267881,9795.990557554704
2023-09-18 00:00:00-04:00,9835.620662397327,9801.735071457464
2023-09-19 00:00:00-04:00,9825.432674377156,9781.408968441625
2023-09-20 00:00:00-04:00,9757.755077498932,9691.485364597138
2023-09-21 00:00:00-04:00,9616.856568712543,9531.300234235061
2023-09-22 00:00:00-04:00,9598.004919657571,9509.868113431081
2023-09-25 00:00:00-04:00,9624.781445445757,9549.859752240947
2023-09-26 00:00:00-04:00,9554.151631692228,9409.559424488934
2023-09-27 00:00:00-04:00,9557.003394581712,9413.31601148543
2023-09-28 00:00:00-04:00,9605.413798758862,9467.889239408374
2023-09-29 00:00:00-04:00,9585.031213441607,9444.911875490756
2023-10-02 00:00:00-04:00,9573.323247572014,9441.154596800836
2023-10-03 00:00:00-04:00,9509.313064046819,9314.775290940088
2023-10-04 00:00:00-04:00,9561.096268099816,9382.604823371934
2023-10-05 00:00:00-04:00,9557.946628268543,9379.070269965177
2023-10-06 00:00:00-04:00,9657.176308518305,9490.42668630707
2023-10-09 00:00:00-04:00,9702.807619169154,9551.18572853855
2023-10-10 00:00:00-04:00,9728.032601630975,9600.897043370285
2023-10-11 00:00:00-04:00,9757.924844585015,9640.224656491211
2023-10-12 00:00:00-04:00,9705.85368761096,9581.454924552849
2023-10-13 00:00:00-04:00,9663.568586478268,9533.730153240527
2023-10-16 00:00:00-04:00,9743.908138543518,9634.038842182674
2023-10-17 00:00:00-04:00,9743.684845708984,9633.596850083473
2023-10-18 00:00:00-04:00,9646.373879218698,9505.228233929609
2023-10-19 00:00:00-04:00,9572.350495109895,9421.711094596545
2023-10-20 00:00:00-04:00,9469.736795058021,9305.93683234292
2023-10-23 00:00:00-04:00,9447.207535361165,9289.807925035926
2023-10-24 00:00:00-04:00,9482.785368676257,9359.848109657201
2023-10-25 00:00:00-04:00,9380.651897848144,9225.514329397689
2023-10-26 00:00:00-04:00,9282.50448779547,9115.041205560772
2023-10-27 00:00:00-04:00,9245.797993078248,9073.724973840155
2023-10-30 00:00:00-04:00,9334.019699520382,9182.208095690528
2023-10-31 00:00:00-04:00,9363.301039200374,9239.875960001305
2023-11-01 00:00:00-04:00,9438.221546542252,9338.415988853221
2023-11-02 00:00:00-04:00,9596.671669762618,9517.380595730647
2023-11-03 00:00:00-04:00,9673.549993517783,9604.212329961005
2023-11-06 00:00:00-05:00,9684.587371009142,9626.305017986795
2023-11-07 00:00:00-05:00,9698.35482256373,9653.701611202998
2023-11-08 00:00:00-05:00,9703.681712239368,9660.77279309679
2023-11-09 00:00:00-05:00,9637.475595544074,9585.432161752231
2023-11-10 00:00:00-05:00,9768.918339243603,9735.010173426908
2023-11-13 00:00:00-05:00,9752.21712997894,9725.730414423966
2023-11-14 00:00:00-05:00,9846.722986229173,9914.417464096961
2023-11-15 00:00:00-05:00,9862.397269434496,9935.406901108314
2023-11-16 00:00:00-05:00,9872.963612950063,9947.5578795225
2023-11-17 00:00:00-05:00,9883.72363567164,9959.93158321985
2023-11-20 00:00:00-05:00,9941.665485869427,10036.599574248861
2023-11-21 00:00:00-05:00,9930.843056576761,10014.726153039106
2023-11-22 00:00:00-05:00,9959.568731288502,10053.390432164519
2023-11-24 00:00:00-05:00,9964.929887457307,10059.576246473054
2023-11-27 00:00:00-05:00,9940.525499927415,10041.459412259795
2023-11-28 00:00:00-05:00,9945.441810244267,10051.401813564828
2023-11-29 00:00:00-05:00,9940.197990901592,10044.33201505789
2023-11-30 00:00:00-05:00,9974.429105593483,10083.880278381703
2023-12-01 00:00:00-05:00,10026.064349711944,10143.536069598747
2023-12-04 00:00:00-05:00,9971.24116061299,10090.287434586553
2023-12-05 00:00:00-05:00,9970.259906281939,10088.299507680287
2023-12-06 00:00:00-05:00,9940.14807098261,10047.646609955184
2023-12-07 00:00:00-05:00,10006.456617212993,10124.314600984197
2023-12-08 00:00:00-05:00,10044.100316489858,10167.839409813969
2023-12-11 00:00:00-05:00,10069.477225454471,10207.388364831208
2023-12-12 00:00:00-05:00,10092.449017634726,10254.007810048812
2023-12-13 00:00:00-05:00,10162.12615555953,10395.412080508688
2023-12-14 00:00:00-05:00,10178.56588647575,10428.775221217391
2023-12-15 00:00:00-05:00,10170.10437053832,10411.603240224022
2023-12-18 00:00:00-05:00,10193.803837751715,10470.169614295144
2023-12-19 00:00:00-05:00,10193.803837751715,10533.836535689443
2023-12-20 00:00:00-05:00,10193.803837751715,10387.867088618103
2023-12-21 00:00:00-05:00,10193.803837751715,10486.363540784181
2023-12-22 00:00:00-05:00,10193.803837751715,10507.438747780358
2023-12-26 00:00:00-05:00,10193.803837751715,10551.80603920297
2023-12-27 00:00:00-05:00,10193.803837751715,10570.884327278342
2023-12-28 00:00:00-05:00,10193.803837751715,10574.876781733095
2023-12-29 00:00:00-05:00,10193.803837751715,10544.262430699235
2024-01-02 00:00:00-05:00,10193.803837751715,10485.25544791576
2024-01-03 00:00:00-05:00,10193.803837751715,10399.624493472904
2024-01-04 00:00:00-05:00,10193.803837751715,10366.126472546133
2024-01-05 00:00:00-05:00,10193.803837751715,10380.324863501219
2024-01-08 00:00:00-05:00,10193.803837751715,10528.51395477653
2024-01-09 00:00:00-05:00,10193.803837751715,10512.540678490383
2024-01-10 00:00:00-05:00,10193.803837751715,10571.993803533613
2024-01-11 00:00:00-05:00,10193.803837751715,10567.335248309639
2024-01-12 00:00:00-05:00,10193.803837751715,10574.654748143355
2024-01-16 00:00:00-05:00,10193.803837751715,10535.833454610247
2024-01-17 00:00:00-05:00,10193.803837751715,10477.2691556194
2024-01-18 00:00:00-05:00,10193.803837751715,10570.439568405436
2024-01-19 00:00:00-05:00,10193.803837751715,10702.212007908545
2024-01-22 00:00:00-05:00,10193.803837751715,10724.841450032896
2024-01-23 00:00:00-05:00,10193.803837751715,10756.120518449123
2024-01-24 00:00:00-05:00,10193.803837751715,10767.8772316105
2024-01-25 00:00:00-05:00,10193.803837751715,10826.44429737505
2024-01-26 00:00:00-05:00,10193.803837751715,10812.68928190602
2024-01-29 00:00:00-05:00,10193.803837751715,10898.320928042302
2024-01-30 00:00:00-05:00,10193.803837751715,10889.889876873036
2024-01-31 00:00:00-05:00,10193.803837751715,10712.196602512562
2024-02-01 00:00:00-05:00,10193.803837751715,10852.400093184939
2024-02-02 00:00:00-05:00,10193.803837751715,10966.647096354
2024-02-05 00:00:00-05:00,10193.803837751715,10926.714943178767
2024-02-06 00:00:00-05:00,10193.803837751715,10958.4387704679
2024-02-07 00:00:00-05:00,10193.803837751715,11049.837064696578
2024-02-08 00:00:00-05:00,10193.803837751715,11054.716961816863
2024-02-09 00:00:00-05:00,10193.803837751715,11118.607300187752
2024-02-12 00:00:00-05:00,10193.803837751715,11113.72671137404
2024-02-13 00:00:00-05:00,10193.803837751715,10960.656339591591
2024-02-14 00:00:00-05:00,10193.803837751715,11060.262959706368
2024-02-15 00:00:00-05:00,10193.803837751715,11136.575420314426
2024-02-16 00:00:00-05:00,10193.803837751715,11081.116133112802
2024-02-20 00:00:00-05:00,10193.803837751715,11020.109464634821
2024-02-21 00:00:00-05:00,10193.803837751715,11030.092675851985
2024-02-22 00:00:00-05:00,10193.803837751715,11258.366031987223
2024-02-23 00:00:00-05:00,10193.803837751715,11266.13098238727
2024-02-26 00:00:00-05:00,10193.803837751715,11224.868011060455
2024-02-27 00:00:00-05:00,10193.803837751715,11245.72118446689
2024-02-28 00:00:00-05:00,10193.803837751715,11230.858076129438
2024-02-29 00:00:00-05:00,10193.803837751715,11271.232913097298
2024-03-01 00:00:00-05:00,10193.803837751715,11377.04955679052
2024-03-04 00:00:00-05:00,10193.803837751715,11364.848776449664
2024-03-05 00:00:00-05:00,10193.803837751715,11251.267182356394
2024-03-06 00:00:00-05:00,10193.803837751715,11308.279321299342
2024-03-07 00:00:00-05:00,10193.803837751715,11420.53148062788
2024-03-08 00:00:00-05:00,10193.803837751715,11351.98189533959
2024-03-11 00:00:00-04:00,10193.803837751715,11342.22140940559
2024-03-12 00:00:00-04:00,10193.803837751715,11464.233362974703
2024-03-13 00:00:00-04:00,10193.803837751715,11446.263859461176
2024-03-14 00:00:00-04:00,10193.803837751715,11423.637184110528
2024-03-15 00:00:00-04:00,10193.803837751715,11345.194999443878
2024-03-18 00:00:00-04:00,10193.803837751715,11412.621274608377
2024-03-19 00:00:00-04:00,10193.803837751715,11476.04333652988
2024-03-20 00:00:00-04:00,10193.803837751715,11582.189917987293
2024-03-21 00:00:00-04:00,10193.803837751715,11620.463390327026
2024-03-22 00:00:00-04:00,10193.803837751715,11598.433646403
2024-03-25 00:00:00-04:00,10193.803837751715,11566.38956505764
2024-03-26 00:00:00-04:00,10193.803837751715,11545.026613596257
2024-03-27 00:00:00-04:00,10193.803837751715,11642.048375378148
2024-03-28 00:00:00-04:00,10193.803837751715,11639.82527270705
2024-04-01 00:00:00-04:00,10193.803837751715,11619.571105807512
2024-04-02 00:00:00-04:00,10193.803837751715,11545.694789445753
2024-04-03 00:00:00-04:00,10193.803837751715,11558.377680104517
2024-04-04 00:00:00-04:00,10193.803837751715,11417.295738781148
2024-04-05 00:00:00-04:00,10193.803837751715,11536.56996977023
2024-04-08 00:00:00-04:00,10193.803837751715,11543.024161128047
2024-04-09 00:00:00-04:00,10193.803837751715,11556.375919329732
2024-04-10 00:00:00-04:00,10193.803837751715,11440.65975932389
2024-04-11 00:00:00-04:00,10193.803837751715,11527.00246630208
2024-04-12 00:00:00-04:00,10193.803837751715,11367.893610910827
2024-04-15 00:00:00-04:00,10193.803837751715,11225.475317888464
2024-04-16 00:00:00-04:00,10193.803837751715,11205.002575866318
2024-04-17 00:00:00-04:00,10193.803837751715,11138.687852037368
2024-04-18 00:00:00-04:00,10193.803837751715,11115.767898674107
2024-04-19 00:00:00-04:00,10193.803837751715,11018.744753505363
2024-04-22 00:00:00-04:00,10193.803837751715,11120.21825417686
2024-04-23 00:00:00-04:00,10193.803837751715,11252.177450904983
2024-04-24 00:00:00-04:00,10193.803837751715,11246.836885962995
2024-04-25 00:00:00-04:00,10193.803837751715,11204.112366427084
2024-04-26 00:00:00-04:00,10193.803837751715,11310.258947884497
2024-04-29 00:00:00-04:00,10193.803837751715,11350.312839102702
2024-04-30 00:00:00-04:00,10193.803837751715,11170.510591486416
2024-05-01 00:00:00-04:00,10193.803837751715,11134.237496534615
2024-05-02 00:00:00-04:00,10193.803837751715,11238.380933830393
2024-05-03 00:00:00-04:00,10193.803837751715,11377.685223048995
2024-05-06 00:00:00-04:00,10193.803837751715,11495.179726853032
2024-05-07 00:00:00-04:00,10193.803837751715,11507.864000898648
2024-05-08 00:00:00-04:00,10193.803837751715,11508.974860540773
2024-05-09 00:00:00-04:00,10193.803837751715,11575.290276063146
2024-05-10 00:00:00-04:00,10193.803837751715,11590.200419553565
2024-05-13 00:00:00-04:00,10193.803837751715,11591.756729762019
2024-05-14 00:00:00-04:00,10193.803837751715,11644.942420672447
2024-05-15 00:00:00-04:00,10193.803837751715,11789.142515960133
2024-05-16 00:00:00-04:00,10193.803837751715,11764.883444124174
2024-05-17 00:00:00-04:00,10193.803837751715,11781.796731776229
2024-05-20 00:00:00-04:00,10193.803837751715,11795.371906954506
2024-05-21 00:00:00-04:00,10193.803837751715,11824.298526028977
2024-05-22 00:00:00-04:00,10193.803837751715,11790.253375602257
2024-05-23 00:00:00-04:00,10193.803837751715,11704.136160680935
2024-05-24 00:00:00-04:00,10193.803837751715,11781.575389879916
2024-05-28 00:00:00-04:00,10193.803837751715,11789.807925035926
2024-05-29 00:00:00-04:00,10193.803837751715,11707.250164484696
2024-05-30 00:00:00-04:00,10193.803837751715,11629.586826615698
2024-05-31 00:00:00-04:00,10193.803837751715,11735.509991096522
2024-06-03 00:00:00-04:00,10193.803837751715,11745.080261338377
2024-06-04 00:00:00-04:00,10193.803837751715,11758.209985950323
2024-06-05 00:00:00-04:00,10193.803837751715,11897.956958961551
2024-06-06 00:00:00-04:00,10193.803837751715,11897.732850291535
2024-06-07 00:00:00-04:00,10193.803837751715,11883.272307528003
2024-06-10 00:00:00-04:00,10193.803837751715,11919.987394579004
2024-06-11 00:00:00-04:00,10193.803837751715,11948.69267175716
2024-06-12 00:00:00-04:00,10193.803837751715,12046.828751648305
2024-06-13 00:00:00-04:00,10193.803837751715,12071.086440097411
2024-06-14 00:00:00-04:00,10193.803837751715,12078.42807412076
2024-06-17 00:00:00-04:00,10193.803837751715,12174.559626463415
2024-06-18 00:00:00-04:00,10193.803837751715,12205.490773086374
2024-06-20 00:00:00-04:00,10193.803837751715,12172.336523792317
2024-06-21 00:00:00-04:00,10193.803837751715,12156.0153257129
2024-06-24 00:00:00-04:00,10193.803837751715,12116.498880286681
2024-06-25 00:00:00-04:00,10193.803837751715,12163.161902190122
2024-06-26 00:00:00-04:00,10193.803837751715,12178.341806116672
2024-06-27 00:00:00-04:00,10193.803837751715,12197.540448848164
2024-06-28 00:00:00-04:00,10193.803837751715,12149.539691858878
2024-07-01 00:00:00-04:00,10193.803837751715,12174.547175981748
2024-07-02 00:00:00-04:00,10193.803837751715,12256.476878902187
2024-07-03 00:00:00-04:00,10193.803837751715,12311.174611641809
2024-07-05 00:00:00-04:00,10193.803837751715,12382.164491336955
2024-07-08 00:00:00-04:00,10193.803837751715,12396.453494130843
2024-07-09 00:00:00-04:00,10193.803837751715,12408.509710545668
2024-07-10 00:00:00-04:00,10193.803837751715,12531.294977365023
2024-07-11 00:00:00-04:00,10193.803837751715,12423.241397132184
2024-07-12 00:00:00-04:00,10193.803837751715,12501.60334536142
2024-07-15 00:00:00-04:00,10193.803837751715,12535.984658793166
2024-07-16 00:00:00-04:00,10193.803837751715,12610.323718056905
2024-07-17 00:00:00-04:00,10193.803837751715,12433.511661121129
2024-07-18 00:00:00-04:00,10193.803837751715,12337.961131256297
2024-07-19 00:00:00-04:00,10193.803837751715,12256.030044949006
2024-07-22 00:00:00-04:00,10193.803837751715,12382.391366780676
2024-07-23 00:00:00-04:00,10193.803837751715,12362.967231992314
2024-07-24 00:00:00-04:00,10193.803837751715,12082.79127625184
2024-07-25 00:00:00-04:00,10193.803837751715,12019.834724006023
2024-07-26 00:00:00-04:00,10193.803837751715,12154.453481957038
2024-07-29 00:00:00-04:00,10193.803837751715,12161.597291660557
2024-07-30 00:00:00-04:00,10193.803837751715,12099.981241274287
2024-07-31 00:00:00-04:00,10193.803837751715,12296.66011679105
2024-08-01 00:00:00-04:00,10193.803837751715,12122.529063574373
2024-08-02 00:00:00-04:00,10193.803837751715,11896.82534851665
2024-08-05 00:00:00-04:00,10193.803837751715,11550.34781112232
2024-08-06 00:00:00-04:00,10193.803837751715,11656.836780825593
2024-08-07 00:00:00-04:00,10193.803837751715,11578.924433323244
2024-08-08 00:00:00-04:00,10193.803837751715,11846.595955308858
2024-08-09 00:00:00-04:00,10193.803837751715,11898.836792999398
2024-08-12 00:00:00-04:00,10193.803837751715,11905.08693479655
2024-08-13 00:00:00-04:00,10193.803837751715,12100.8735257938
2024-08-14 00:00:00-04:00,10193.803837751715,12139.04946936047
2024-08-15 00:00:00-04:00,10193.803837751715,12347.115002055712
2024-08-16 00:00:00-04:00,10193.803837751715,12374.79795635027
2024-08-19 00:00:00-04:00,10193.803837751715,12493.119033798353
2024-08-20 00:00:00-04:00,10193.803837751715,12472.802614490478
2024-08-21 00:00:00-04:00,10193.803837751715,12515.66823948529
2024-08-22 00:00:00-04:00,10193.803837751715,12417.436705901362
2024-08-23 00:00:00-04:00,10193.803837751715,12549.377226906985
2024-08-26 00:00:00-04:00,10193.803837751715,12519.461486233364
2024-08-27 00:00:00-04:00,10193.803837751715,12536.65145125581
2024-08-28 00:00:00-04:00,10193.803837751715,12463.874235747933
2024-08-29 00:00:00-04:00,10193.803837751715,12464.98786216376
2024-08-30 00:00:00-04:00,10193.803837751715,12583.979882235044
2024-09-03 00:00:00-04:00,10193.803837751715,12325.015397095662
2024-09-04 00:00:00-04:00,10193.803837751715,12299.78657107648
2024-09-05 00:00:00-04:00,10193.803837751715,12269.872213789711
2024-09-06 00:00:00-04:00,10193.803837751715,12063.368524850332
2024-09-09 00:00:00-04:00,10193.803837751715,12198.432733367677
2024-09-10 00:00:00-04:00,10193.803837751715,12251.565855577732
2024-09-11 00:00:00-04:00,10193.803837751715,12377.253468012499
2024-09-12 00:00:00-04:00,10193.803837751715,12481.509651336712
2024-09-13 00:00:00-04:00,10193.803837751715,12546.697606574739
2024-09-16 00:00:00-04:00,10193.803837751715,12565.228073456734
2024-09-17 00:00:00-04:00,10193.803837751715,12570.363205451207
2024-09-18 00:00:00-04:00,10193.803837751715,12533.082313177756
2024-09-19 00:00:00-04:00,10193.803837751715,12746.951153716966
2024-09-20 00:00:00-04:00,10193.803837751715,12724.916567938957
2024-09-23 00:00:00-04:00,10193.803837751715,12756.712331344392
2024-09-24 00:00:00-04:00,10193.803837751715,12793.214376820191
2024-09-25 00:00:00-04:00,10193.803837751715,12764.998818587628
2024-09-26 00:00:00-04:00,10193.803837751715,12815.608643179708
2024-09-27 00:00:00-04:00,10193.803837751715,12797.021457436782
2024-09-30 00:00:00-04:00,10193.803837751715,12848.302224652063
2024-10-01 00:00:00-04:00,10193.803837751715,12733.203055182194
2024-10-02 00:00:00-04:00,10193.803837751715,12738.576129715204
2024-10-03 00:00:00-04:00,10193.803837751715,12715.286812062468
2024-10-04 00:00:00-04:00,10193.803837751715,12830.835582259226
2024-10-07 00:00:00-04:00,10193.803837751715,12714.838594722434
2024-10-08 00:00:00-04:00,10193.803837751715,12835.089496829
2024-10-09 00:00:00-04:00,10193.803837751715,12923.992852870168
2024-10-10 00:00:00-04:00,10193.803837751715,12901.374477840633
2024-10-11 00:00:00-04:00,10193.803837751715,12978.629716588302
2024-10-14 00:00:00-04:00,10193.803837751715,13084.774222965438
2024-10-15 00:00:00-04:00,10193.803837751715,12983.110506601799
2024-10-16 00:00:00-04:00,10193.803837751715,13039.540239680071
2024-10-17 00:00:00-04:00,10193.803837751715,13040.658016256455
2024-10-18 00:00:00-04:00,10193.803837751715,13090.821006895352
2024-10-21 00:00:00-04:00,10193.803837751715,13069.323175215904
2024-10-22 00:00:00-04:00,10193.803837751715,13062.381339992773
2024-10-23 00:00:00-04:00,10193.803837751715,12943.025489179425
2024-10-24 00:00:00-04:00,10193.803837751715,12971.01693874197
2024-10-25 00:00:00-04:00,10193.803837751715,12966.537532115326
2024-10-28 00:00:00-04:00,10193.803837751715,13006.622549537698
2024-10-29 00:00:00-04:00,10193.803837751715,13027.67078049026
2024-10-30 00:00:00-04:00,10193.803837751715,12988.259472464792
2024-10-31 00:00:00-04:00,10193.803837751715,12733.65127252223
2024-11-01 00:00:00-04:00,10193.803837751715,12787.391701560295
2024-11-04 00:00:00-05:00,10193.803837751715,12759.84708595093
2024-11-05 00:00:00-05:00,10193.803837751715,12914.13898832366
2024-11-06 00:00:00-05:00,10193.803837751715,13235.256277947872
2024-11-07 00:00:00-05:00,10193.803837751715,13337.592320321564
2024-11-08 00:00:00-05:00,10193.803837751715,13395.369472193646
2024-11-11 00:00:00-05:00,10193.803837751715,13408.131215902971
2024-11-12 00:00:00-05:00,10193.803837751715,13366.481587951032
2024-11-13 00:00:00-05:00,10193.803837751715,13372.97520583413
2024-11-14 00:00:00-05:00,10193.803837751715,13286.983879116337
2024-11-15 00:00:00-05:00,10193.803837751715,13116.79547842774
2024-11-18 00:00:00-05:00,10193.803837751715,13170.540057626362
2024-11-19 00:00:00-05:00,10193.803837751715,13218.684686848252
2024-11-20 00:00:00-05:00,10193.803837751715,13223.164093474896
2024-11-21 00:00:00-05:00,10193.803837751715,13294.148439622633
2024-11-22 00:00:00-05:00,10193.803837751715,13335.355383781947
2024-11-25 00:00:00-05:00,10193.803837751715,13380.587983680462
2024-11-26 00:00:00-05:00,10193.803837751715,13450.454553251817
2024-11-27 00:00:00-05:00,10193.803837751715,13409.698593206242
2024-11-29 00:00:00-05:00,10193.803837751715,13493.001999270678
2024-12-02 00:00:00-05:00,10193.803837751715,13517.186368216631
2024-12-03 00:00:00-05:00,10193.803837751715,13523.454494042859
2024-12-04 00:00:00-05:00,10193.803837751715,13607.430226117347
2024-12-05 00:00:00-05:00,10193.803837751715,13585.03595975783
2024-12-06 00:00:00-05:00,10193.803837751715,13610.790472780756
2024-12-09 00:00:00-05:00,10193.803837751715,13540.698411152533
2024-12-10 00:00:00-05:00,10193.803837751715,13498.600565860557
2024-12-11 00:00:00-05:00,10193.803837751715,13602.952202877555
2024-12-12 00:00:00-05:00,10193.803837751715,13532.861524636182
2024-12-13 00:00:00-05:00,10193.803837751715,13530.174987369677
2024-12-16 00:00:00-05:00,10193.803837751715,13587.949372468056
2024-12-17 00:00:00-05:00,10193.803837751715,13531.965089956113
2024-12-18 00:00:00-05:00,10193.803837751715,13128.664937617552
2024-12-19 00:00:00-05:00,10193.803837751715,13124.632364944091
2024-12-20 00:00:00-05:00,10193.803837751715,13282.273446885414
